page_downloaded,page_id,page_md5,ice_date_updated,ice_date_as_of_case,ice_date_as_of_case_current,ice_date_as_of_test,ice_date_as_of_pop,ice_page_version
2020-04-09 01:04:00,0234955d45b490bed89a2dd975cfbb78,0d8a667d43fd09322df1a6288c7ecc07,2020-04-08 17:49:00,,,,,V1
2020-04-09 11:38:00,6a903c078a75a46808d6a05fbf63f19d,0d8a667d43fd09322df1a6288c7ecc07,2020-04-08 17:49:00,,,,,V1
2020-04-09 13:27:00,a2f19f95cf55a588f3cad947b76a7907,0d8a667d43fd09322df1a6288c7ecc07,2020-04-08 17:49:00,,,,,V1
2020-04-09 15:30:00,a5ee9a6626403d80900c68c91db415b6,c0e8c2aac94c5d1a9ef9c691c095f445,2020-04-09 13:44:00,,,,,V1
2020-04-09 17:25:00,95c305a030b0ae83cd41859bc11b6162,c0e8c2aac94c5d1a9ef9c691c095f445,2020-04-09 13:44:00,,,,,V1
2020-04-09 18:02:00,f4930f52f31da5236af8f1c47095db5b,116a9569d2861ada9e0ce491cffc7078,2020-04-09 17:45:00,,,,,V1
2020-04-09 18:54:00,3b36215f553a82a876309107c233e421,116a9569d2861ada9e0ce491cffc7078,2020-04-09 17:45:00,,,,,V1
2020-04-10 01:35:00,d0fd2db46ee1c37306d54f8ad6e1204f,fe87a9c7e7dab9909c7cf6326bf33d75,2020-04-09 22:30:00,,,,,V1
2020-04-10 11:34:00,d2c894bbdc5b6920c787c90e525f879e,fe87a9c7e7dab9909c7cf6326bf33d75,2020-04-09 22:30:00,,,,,V1
2020-04-10 13:09:00,828ebcd3de715a1b5291c02ee7271fe7,fe87a9c7e7dab9909c7cf6326bf33d75,2020-04-09 22:30:00,,,,,V1
2020-04-10 14:41:00,2766772238938fb88636c840a3c16874,9f3f6a50c9c4d302c80493cb776202e6,2020-04-10 13:20:00,,,,,V1
2020-04-10 15:36:00,ecdc3ae1dbc70b1cfe52231887c70144,9f3f6a50c9c4d302c80493cb776202e6,2020-04-10 13:20:00,,,,,V1
2020-04-10 16:16:00,286eda38e83921963d0ce062da2dd48c,9f3f6a50c9c4d302c80493cb776202e6,2020-04-10 13:20:00,,,,,V1
2020-04-10 17:30:00,93023b0ceedfd2f1cf9d3fe9629da92d,9f3f6a50c9c4d302c80493cb776202e6,2020-04-10 13:20:00,,,,,V1
2020-04-10 18:00:00,a90d91cfdc095fcb910bff58f6bad88b,9f3f6a50c9c4d302c80493cb776202e6,2020-04-10 13:20:00,,,,,V1
2020-04-10 19:00:00,4b86b42d21e288cc915204f31d6b6bc6,9f3f6a50c9c4d302c80493cb776202e6,2020-04-10 13:20:00,,,,,V1
2020-04-10 20:27:00,644f22953a96d89608ff585c32285a5b,9f3f6a50c9c4d302c80493cb776202e6,2020-04-10 13:20:00,,,,,V1
2020-04-10 20:59:00,b0b3981923f9a76d4fa43203c1f1866f,9f3f6a50c9c4d302c80493cb776202e6,2020-04-10 13:20:00,,,,,V1
2020-04-10 22:19:00,b4a1faf4fa667a3fdab53576837385a8,a6a8649dd745113266358e3d1fa04a1e,2020-04-10 21:35:00,,,,,V1
2020-04-10 22:25:00,7028e05351b3057aa50c2def151861db,a6a8649dd745113266358e3d1fa04a1e,2020-04-10 21:35:00,,,,,V1
2020-04-10 22:38:00,3d5c98f5f96b128c69ee5c5c671adc8d,a6a8649dd745113266358e3d1fa04a1e,2020-04-10 21:35:00,,,,,V1
2020-04-11 00:05:00,3b3059219043d579495e40ac8f226265,a6a8649dd745113266358e3d1fa04a1e,2020-04-10 21:35:00,,,,,V1
2020-04-11 01:57:00,887dbd2a7569b5315d257354f89b123f,a6a8649dd745113266358e3d1fa04a1e,2020-04-10 21:35:00,,,,,V1
2020-04-11 14:09:00,94dcc2df6da91ce87be063aad6a46b82,a6a8649dd745113266358e3d1fa04a1e,2020-04-10 21:35:00,,,,,V1
2020-04-12 02:18:00,8ae22e61c1cb6ea5b0d656572049adad,a6a8649dd745113266358e3d1fa04a1e,2020-04-10 21:35:00,,,,,V1
2020-04-12 14:39:00,b5b48ee5d8bbd29c3e4182f6ad95ec8d,a6a8649dd745113266358e3d1fa04a1e,2020-04-10 21:35:00,,,,,V1
2020-04-12 15:39:00,ef1c602d6f385d418269fd84f70eb5c2,a6a8649dd745113266358e3d1fa04a1e,2020-04-10 21:35:00,,,,,V1
2020-04-12 23:27:00,9b4a24350746a5736ff9c3ae52e64f62,a6a8649dd745113266358e3d1fa04a1e,2020-04-10 21:35:00,,,,,V1
2020-04-13 12:57:00,7c54654fe9b36f38c606391fb8d30a9d,a6a8649dd745113266358e3d1fa04a1e,2020-04-10 21:35:00,,,,,V1
2020-04-13 16:04:00,4bfa5b5dd56d6b8784a755be7e427791,3a88c01bdf11faa20b49ba21b134d895,2020-04-13 15:43:00,,,,,V1
2020-04-13 16:40:00,18be3054e84cdf499644daeea131b50a,3a88c01bdf11faa20b49ba21b134d895,2020-04-13 15:43:00,,,,,V1
2020-04-13 21:55:00,14b7c75516b68621358af9de048843fa,415f73e034d1b110716760013762b842,2020-04-13 15:43:00,,,,,V1
2020-04-14 11:34:00,ad9a158ca8b7c1dfce36c95280fd7131,415f73e034d1b110716760013762b842,2020-04-13 15:43:00,,,,,V1
2020-04-14 14:30:00,61d2543b42aa15f6c7daa43caccdd406,415f73e034d1b110716760013762b842,2020-04-13 15:43:00,,,,,V1
2020-04-14 15:35:00,cfcf795624200ffb06ad0b066c40755e,4a583408ea80f6df35733ce1249b663a,2020-04-14 15:15:00,,,,,V1
2020-04-14 17:04:00,0080adabfb685cf712b2f4760a3dca7f,4a583408ea80f6df35733ce1249b663a,2020-04-14 15:15:00,,,,,V1
2020-04-14 18:46:00,19e2777e290196241e9ea1533bd5a0f6,4a583408ea80f6df35733ce1249b663a,2020-04-14 15:15:00,,,,,V1
2020-04-14 21:28:00,6011f61fd3c8c8f54dcd1e38f4cb8616,4089e6dc2f77f0c0cc899f3c5e443a37,2020-04-14 15:15:00,,,,,V1
2020-04-15 01:16:00,8f43a191205924291b22b1dfd591e0b4,b2f002f3f23f8028761771df1a025314,2020-04-14 15:15:00,,,,,V1
2020-04-15 11:42:00,9781e06e56fffe831b7049b443e73b93,b2f002f3f23f8028761771df1a025314,2020-04-14 15:15:00,,,,,V1
2020-04-15 13:34:00,0b0f24135ee6e53ec2b55f20fac95a1a,b2f002f3f23f8028761771df1a025314,2020-04-14 15:15:00,,,,,V1
2020-04-15 14:12:00,4357a2b20dd0f7b3b66f64e60efb6297,b2f002f3f23f8028761771df1a025314,2020-04-14 15:15:00,,,,,V1
2020-04-15 15:37:00,3d2429f87d429e63e4cabbcbbeef13c8,ab038156882704201c366f3320523740,2020-04-14 15:15:00,,,,,V1
2020-04-15 16:41:00,611a91ef21bbb71719266378dcfe9360,d1f35c398d2af3057016021ee2c63581,2020-04-15 16:15:00,,,,,V1
2020-04-16 12:43:00,62c6ca01dd37abf89ae240aca31a949c,26fb21925a4f4dde6a54f135bf8c3171,2020-04-15 16:15:00,,,,,V1
2020-04-16 16:21:00,802e5b2dbd191e1e4406f2310debfbf1,26fb21925a4f4dde6a54f135bf8c3171,2020-04-15 16:15:00,,,,,V1
2020-04-16 17:48:00,692e81a19a86c71b7c65cae76f70b9a0,26fb21925a4f4dde6a54f135bf8c3171,2020-04-15 16:15:00,,,,,V1
2020-04-16 20:09:00,e703837d9fff130f800dc0e7c856206f,d4322c9dd8549681fcd5efd09462c999,2020-04-16 18:00:00,,,,,V1
2020-04-17 14:57:00,a0eaa1e2635c216a72511083b86e9f9f,8da48d76156c2caab28c7863e50c13ff,2020-04-16 18:00:00,,,,,V1
2020-04-17 16:43:00,89479dc9808156ce4f2bb57ad34a827e,a03a7d5b388e6807bb93ba61d01f77af,2020-04-17 16:04:00,,,,,V1
2020-04-17 19:11:00,9ddc365e6d458d06f7e7dffe671ac4ed,69573a5759c031f6e5dcd7e3f69d1348,2020-04-17 18:35:00,,,,,V1
2020-04-17 19:40:00,1b1b479a4b99d567e40548df16477745,69573a5759c031f6e5dcd7e3f69d1348,2020-04-17 18:35:00,,,,,V1
2020-04-17 20:39:00,a46e814c1425ee3cef91b3cec8dbe902,69573a5759c031f6e5dcd7e3f69d1348,2020-04-17 18:35:00,,,,,V1
2020-04-17 21:01:00,b4d3be774b92e9bd87af5754f3101f90,69573a5759c031f6e5dcd7e3f69d1348,2020-04-17 18:35:00,,,,,V1
2020-04-17 22:01:00,c189da9ae58a49ac3322c1734bd5a172,9e0538a3546fcc8885b7a3b78209d2b6,2020-04-17 18:35:00,,,,,V1
2020-04-17 23:01:00,29396d99b734c7dd7fc254028e45ab1c,9e0538a3546fcc8885b7a3b78209d2b6,2020-04-17 18:35:00,,,,,V1
2020-04-18 00:01:00,8931183f7854e593a664bc6330675f78,9e0538a3546fcc8885b7a3b78209d2b6,2020-04-17 18:35:00,,,,,V1
2020-04-18 01:01:00,ce4879a703b0c809a934ea9247c93c9f,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 02:01:00,3c3154119bd14974872c9b66fe379390,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 03:01:00,2b25f8e023757b34c77247dcd1303bfe,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 04:01:00,dcb817efbde7d166ad0dd530a2203f9d,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 05:01:00,904aea4169c6756759eb68f5ac8a1e01,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 06:01:00,58647c6457ac789318e6a8ef4e2c28ed,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 07:01:00,4ee271a5b4482a2d5570705a664a058b,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 08:01:00,0a1a568f64f22cee3994d11042e1a3d7,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 09:01:00,ec20235db9bcd769f19c213eb265841e,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 10:01:00,6bb0710f3eacf3485ad9c645ff8c0e2a,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 11:01:00,f4c4c297f5689a3927f461e68e0763be,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 12:01:00,1c0c2a5d04d64a2aab6b6af4e83c26dd,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 13:01:00,6f84b8de9d18f261b732ec2c7990d9dc,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 14:01:00,e64db15758d12078bb2169b12ef6c510,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 15:01:00,4835f20a3e4c7482267f9aec96bfdf1f,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 16:01:00,3345d58ad11d59a17e35931ed586ce56,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 17:01:00,b88851359b269f7814757c9f17f32b60,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 18:01:00,8b3634c40369735fa8a6b439797cfe43,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
2020-04-18 19:01:00,d65cd4a018718caa04c4aead573b01dc,0587ea9086bf61e2acea53e6e090c76f,2020-04-18 00:00:00,,,,,V1
